3ount,O3,O5,O4,W24,W25,W13,W15,W14,W23,W46,W56,W36,Err1,Err3,Err2,Err5,Err4,Err6,O6
170,0.93596866,0.99321523,0.01481804,-3.07882102,0.49454834,-2.66332556,3.99727417,1.96058949,2.67334888,0.64084258,-2.02740128,-2.53393068,0.00000000,0.00002326,0.00000000,0.00000209,-0.00000143,-0.00015323,0.01245653
171,0.93603832,0.99321593,0.01481700,-3.07884952,0.49458996,-2.66309447,3.99729498,1.96057524,2.67381105,0.64082001,-2.02891417,-2.53535648,0.00000000,0.00002311,0.00000000,0.00000208,-0.00000142,-0.00015232,0.01241928
172,0.93610746,0.99321663,0.01481596,-3.07887785,0.49463136,-2.66286485,3.99731568,1.96056108,2.67427029,0.64079757,-2.03041815,-2.53677397,0.00000000,0.00002296,0.00000000,0.00000207,-0.00000142,-0.00015142,0.01238236
173,0.93617609,0.99321733,0.01481492,-3.07890600,0.49467254,-2.66263668,3.99733627,1.96054700,2.67472664,0.64077527,-2.03191330,-2.53818325,0.00000000,0.00002282,0.00000000,0.00000206,-0.00000141,-0.00015054,0.01234576
174,0.93624422,0.99321802,0.01481389,-3.07893400,0.49471351,-2.66240994,3.99735675,1.96053300,2.67518012,0.64075310,-2.03339973,-2.53958442,0.00000000,0.00002267,0.00000000,0.00000205,-0.00000140,-0.00014966,0.01230948
175,0.93631186,0.99321871,0.01481287,-3.07896182,0.49475426,-2.66218461,3.99737713,1.96051909,2.67563078,0.64073106,-2.03487754,-2.54097756,0.00000000,0.00002253,0.00000000,0.00000204,-0.00000139,-0.00014879,0.01227351
176,0.93637901,0.99321940,0.01481186,-3.07898949,0.49479481,-2.66196068,3.99739740,1.96050526,2.67607864,0.64070915,-2.03634683,-2.54236277,0.00000000,0.00002239,0.00000000,0.00000203,-0.00000138,-0.00014793,0.01223786
177,0.93644568,0.99322008,0.01481085,-3.07901699,0.49483514,-2.66173813,3.99741757,1.96049151,2.67652375,0.64068737,-2.03780770,-2.54374013,0.00000000,0.00002226,0.00000000,0.00000202,-0.00000138,-0.00014708,0.01220251
178,0.93651188,0.99322076,0.01480985,-3.07904433,0.49487528,-2.66151694,3.99743764,1.96047784,2.67696612,0.64066571,-2.03926025,-2.54510974,0.00000000,0.00002212,0.00000000,0.00000201,-0.00000137,-0.00014625,0.01216747
179,0.93657760,0.99322143,0.01480885,-3.07907151,0.49491521,-2.66129710,3.99745760,1.96046424,2.67740580,0.64064417,-2.04070456,-2.54647169,0.00000000,0.00002198,0.00000000,0.00000200,-0.00000136,-0.00014542,0.01213272
180,0.93664286,0.99322211,0.01480786,-3.07909854,0.49495494,-2.66107859,3.99747747,1.96045073,2.67784282,0.64062276,-2.04214073,-2.54782605,0.00000000,0.00002185,0.00000000,0.00000199,-0.00000135,-0.00014460,0.01209827
181,0.93670767,0.99322278,0.01480687,-3.07912542,0.49499447,-2.66086140,3.99749723,1.96043729,2.67827721,0.64060147,-2.04356886,-2.54917291,0.00000000,0.00002172,0.00000000,0.00000198,-0.00000134,-0.00014379,0.01206411
182,0.93677202,0.99322344,0.01480589,-3.07915214,0.49503380,-2.66064551,3.99751690,1.96042393,2.67870899,0.64058030,-2.04498902,-2.55051236,0.00000000,0.00002159,0.00000000,0.00000197,-0.00000134,-0.00014299,0.01203023
183,0.93683593,0.99322410,0.01480492,-3.07917871,0.49507294,-2.66043090,3.99753647,1.96041065,2.67913820,0.64055925,-2.04640131,-2.55184447,0.00000000,0.00002146,0.00000000,0.00000196,-0.00000133,-0.00014219,0.01199663
184,0.93689939,0.99322476,0.01480395,-3.07920513,0.49511189,-2.66021757,3.99755594,1.96039743,2.67956486,0.64053832,-2.04780582,-2.55316932,0.00000000,0.00002133,0.00000000,0.00000195,-0.00000132,-0.00014141,0.01196331
185,0.93696242,0.99322542,0.01480298,-3.07923141,0.49515064,-2.66000549,3.99757532,1.96038430,2.67998901,0.64051750,-2.04920262,-2.55448700,0.00000000,0.00002121,0.00000000,0.00000194,-0.00000131,-0.00014063,0.01193027
186,0.93702502,0.99322607,0.01480203,-3.07925753,0.49518921,-2.65979466,3.99759461,1.96037123,2.68041067,0.64049679,-2.05059181,-2.55579759,0.00000000,0.00002108,0.00000000,0.00000193,-0.00000131,-0.00013987,0.01189749
187,0.93708720,0.99322672,0.01480107,-3.07928352,0.49522759,-2.65958506,3.99761380,1.96035824,2.68082988,0.64047620,-2.05197346,-2.55710114,0.00000000,0.00002096,0.00000000,0.00000192,-0.00000130,-0.00013911,0.01186498
188,0.93714896,0.99322736,0.01480013,-3.07930936,0.49526579,-2.65937667,3.99763289,1.96034532,2.68124665,0.64045573,-2.05334766,-2.55839776,0.00000000,0.00002084,0.00000000,0.00000191,-0.00000129,-0.00013836,0.01183274
189,0.93721030,0.99322800,0.01479918,-3.07933506,0.49530380,-2.65916949,3.99765190,1.96033247,2.68166102,0.64043536,-2.05471449,-2.55968749,0.00000000,0.00002072,0.00000000,0.00000190,-0.00000129,-0.00013761,0.01180075
190,0.93727123,0.99322864,0.01479825,-3.07936062,0.49534163,-2.65896349,3.99767081,1.96031969,2.68207301,0.64041511,-2.05607402,-2.56097043,0.00000000,0.00002060,0.00000000,0.00000189,-0.00000128,-0.00013688,0.01176902
191,0.93733176,0.99322928,0.01479732,-3.07938605,0.49537928,-2.65875867,3.99768964,1.96030698,2.68248265,0.64039496,-2.05742633,-2.56224663,0.00000000,0.00002048,0.00000000,0.00000188,-0.00000127,-0.00013615,0.01173755
192,0.93739189,0.99322991,0.01479639,-3.07941133,0.49541675,-2.65855502,3.99770838,1.96029433,2.68288997,0.64037492,-2.05877150,-2.56351618,0.00000000,0.00002037,0.00000000,0.00000187,-0.00000126,-0.00013543,0.01170632
