3ount,O3,O5,O4,W24,W25,W13,W15,W14,W23,W46,W56,W36,Err1,Err3,Err2,Err5,Err4,Err6,O6
254,0.94049640,0.99326419,0.01474706,-3.08076080,0.49745227,-2.64777564,3.99872613,1.95961960,2.70444872,0.63930459,-2.13074251,-2.63155551,0.00000000,0.00001501,0.00000000,0.00000145,-0.00000095,-0.00010199,0.01015058
255,0.94053840,0.99326467,0.01474637,-3.08077967,0.49748123,-2.64762614,3.99874061,1.95961016,2.70474772,0.63928961,-2.13175150,-2.63251094,0.00000000,0.00001495,0.00000000,0.00000145,-0.00000094,-0.00010158,0.01013030
256,0.94058019,0.99326516,0.01474569,-3.08079847,0.49751008,-2.64747727,3.99875504,1.95960077,2.70504546,0.63927469,-2.13275650,-2.63346263,0.00000000,0.00001489,0.00000000,0.00000144,-0.00000094,-0.00010118,0.01011013
257,0.94062178,0.99326564,0.01474500,-3.08081719,0.49753884,-2.64732903,3.99876942,1.95959141,2.70534193,0.63925983,-2.13375754,-2.63441062,0.00000000,0.00001482,0.00000000,0.00000144,-0.00000094,-0.00010078,0.01009009
258,0.94066316,0.99326612,0.01474432,-3.08083583,0.49756749,-2.64718142,3.99878375,1.95958208,2.70563715,0.63924503,-2.13475465,-2.63535492,0.00000000,0.00001476,0.00000000,0.00000143,-0.00000093,-0.00010039,0.01007017
259,0.94070435,0.99326660,0.01474365,-3.08085440,0.49759605,-2.64703443,3.99879802,1.95957280,2.70593114,0.63923028,-2.13574786,-2.63629558,0.00000000,0.00001470,0.00000000,0.00000143,-0.00000093,-0.00009999,0.01005036
260,0.94074533,0.99326708,0.01474297,-3.08087290,0.49762450,-2.64688806,3.99881225,1.95956355,2.70622389,0.63921560,-2.13673721,-2.63723261,0.00000000,0.00001464,0.00000000,0.00000142,-0.00000092,-0.00009961,0.01003067
261,0.94078611,0.99326755,0.01474230,-3.08089132,0.49765285,-2.64674229,3.99882643,1.95955434,2.70651542,0.63920097,-2.13772271,-2.63816604,0.00000000,0.00001458,0.00000000,0.00000142,-0.00000092,-0.00009922,0.01001109
262,0.94082670,0.99326803,0.01474163,-3.08090967,0.49768111,-2.64659713,3.99884055,1.95954516,2.70680574,0.63918640,-2.13870441,-2.63909591,0.00000000,0.00001452,0.00000000,0.00000141,-0.00000092,-0.00009884,0.00999163
262
{'c': 0.9408267011141435, 'e': 0.9932680260412802, 'd': 0.014741632065542515}
{'f': 0.009991628470685786}
{'a': 0, 'c': 1.4516066951074111e-05, 'b': 0, 'e': 1.4127706873908254e-06, 'd': -9.175812843214365e-07, 'f': -9.883514885312465e-05}
{'bd': -3.080909673641032, 'be': 0.49768110942804916, 'ac': -2.6465971292870574, 'ae': 3.998840554714026, 'ad': 1.959545163179484, 'bc': 2.7068057414258733, 'df': 0.6391864018078728, 'ef': -2.1387044128434307, 'cf': -2.639095909172766}
